Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
VikingKoala,431562251,41,41,0,Padme 3%: Padme JKA GK Ahsoka GMY
Yeti no kles,483657413,30,30,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
dicksharpe,175858197,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
xXDarth YetiXx,879719549,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BallistaShan,221463986,14,14,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
DarthTalon,387869794,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe JKL
DarthTalon,387869794,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthTalon,387869794,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
tobster,569316171,46,46,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Wolffe Pack,787254278,0,0,0,Seps (1%): Dooku Jango B1 MagnaGuard GG
Wolffe Pack,787254278,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Wolffe Pack,787254278,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Wolffe Pack,787254278,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Wolffe Pack,787254278,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Wolffe Pack,787254278,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ajunta Kal,716562387,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
VikingKoala,431562251,41,9,32,p3: Imperial Troopers 5%: Veers G12 Piett G12 Gideon G10 Range Trooper G12 Starck G12
VikingKoala,431562251,30,0,30,p2: Shaak 6%: Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
NuclearCC,572853445,40,8,32,p1: Padme 3%: Padme G9 JKA GK G7 Ahsoka G12 GMY G12
NuclearCC,572853445,37,3,34,p4: Rebels (2%): CLS Chewbacca G9 Han G10 Chewpio G10 C-3PO G9
Elon Muscle,274334641,20,1,19,p4: Rebels (2%): CLS R3 Chewbacca Han R3 Chewpio G10 C-3PO G11 6*
ThEeSSs,647418233,42,18,24,p1: Padme 3%: Padme R3 JKA R2 GK G11 6* Ahsoka G12 GMY G12
dicksharpe,175858197,19,8,11,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G7
dicksharpe,175858197,15,1,14,p4: Rebels (2%): CLS Chewbacca Han Chewpio G10 C-3PO G12
Yeti no kles,483657413,47,28,19,p2: Imperial Troopers 5%: Veers G12 Piett Gideon G12 Range Trooper G11 Dark Trooper
PolarBear,399278196,33,26,7,p2: Imperial Troopers 5%: Veers Piett Gideon G12 Range Trooper R4 Dark Trooper
DarthWilli,228477644,43,0,43,p2: BH 2%: Aurra G8 5* Greef G8 Bossk G12 Jango G11 Boba G8
DarthWilli,228477644,41,0,41,p1: Padme 3%: Padme G8 6* JKA G10 GK G8 Ahsoka G11 GMY G12
e4embo,651266171,43,23,20,p1: Padme 3%: Padme R3 JKA GK G12 Ahsoka G12 GMY G12
Indrid Cold,411626163,37,2,35,p4: Seps (1%): Dooku G8 Jango G11 Sun Fac G12 Geo Spy G12 GBA G12
Raven3199,716952923,40,0,40,p4: Seps (1%): Dooku G8 6* Jango G7 6* Geo Spy G12 Poggle G11 GBA G12
Ta152,474737449,38,5,33,p4: Rebels (2%): CLS G12 Chewbacca G11 Han G12 Chewpio G10 5* R2-D2 G12
Kelattt,384197343,42,11,31,p1: Padme 3%: Padme G12 JKA G11 GK G12 Ahsoka G12 GMY G12
Tomb,644419262,42,8,34,p4: Rebels (2%): CLS R3 Chewbacca G9 6* Han G12 Chewpio G10 R2-D2 G9
Tomb,644419262,50,15,35,p1: Padme 3%: Padme G9 JKA R3 GK G10 Ahsoka G9 GMY G11
Kristian45,713547513,29,21,8,p4: Rebels (2%): CLS Chewbacca Han R4 Chewpio R4 C-3PO G12
spyinglyfe,798345146,37,0,37,p4: Seps (1%): Dooku G8 6* Jango G9 Geo Spy G12 Poggle G12 GBA G12
