Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Execute Order 69,743154738,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Execute Order 69,743154738,0,0,0,Seps (1%): Dooku Jango GG B1 MagnaGuard
Execute Order 69,743154738,2,2,0,JMK (8%): JMK GK Ahsoka CAT GAS
Execute Order 69,743154738,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Darth Talon
Execute Order 69,743154738,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Savagediva,497531654,0,0,0,Seps (1%): Dooku Jango GG B1 GBA
Savagediva,497531654,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Savagediva,497531654,0,0,0,SEE P1 5%: SEE Malak Vader EP Sith Marauder
Savagediva,497531654,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Savagediva,497531654,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Savagediva,497531654,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ZokyDawg CPR,224667393,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
ZokyDawg CPR,224667393,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
ZokyDawg CPR,224667393,0,0,0,SEE P1 5%: SEE Malak Vader Sith Trooper Sith Marauder
ZokyDawg CPR,224667393,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ZokyDawg CPR,224667393,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
ZokyDawg CPR,224667393,0,0,0,Seps (1%): Dooku Jango Nute AV GBA
ZokyDawg CPR,224667393,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
schembri,852538859,0,0,0,Seps (1%): Dooku Jango Nute AV GG
schembri,852538859,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
schembri,852538859,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
schembri,852538859,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
schembri,852538859,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
schembri,852538859,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
schembri,852538859,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
schembri,852538859,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Unclad,372639244,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Unclad,372639244,0,0,0,SEE P1 5%: SEE Malak EP Sith Trooper Sith Marauder
Unclad,372639244,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Unclad,372639244,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Unclad,372639244,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Unclad,372639244,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Unclad,372639244,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Starck
Unclad,372639244,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Mtb,632271723,0,0,0,Seps (1%): Dooku Jango Nute AV GBA
Mtb,632271723,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Darth Talon
Mtb,632271723,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Mtb,632271723,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Mtb,632271723,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
Mtb,632271723,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Mtb,632271723,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mtb,632271723,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Mtb,632271723,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Mtb,632271723,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Ponda Baba,565915987,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Ponda Baba,565915987,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Ponda Baba,565915987,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Algandar,258979998,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Algandar,258979998,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Algandar,258979998,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Algandar,258979998,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Algandar,258979998,0,0,0,Seps (1%): Dooku Jango Nute GG MagnaGuard
Algandar,258979998,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SonnyOlivia,841834798,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
SonnyOlivia,841834798,0,0,0,Seps (1%): Dooku Jango Nute GG MagnaGuard
SonnyOlivia,841834798,0,0,0,SEE P1 5%: SEE Malak EP DR Sith Marauder
SonnyOlivia,841834798,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
SonnyOlivia,841834798,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
MINI Kovacs,262231432,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Kovacs,262231432,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
MINI Kovacs,262231432,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
MINI Kovacs,262231432,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
MINI Kovacs,262231432,0,0,0,GG (2%): GG B1 Droideka B2 L3-37
MINI Kovacs,262231432,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
