Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Unclad,372639244,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
CoffeeNCigarettes,343399131,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Sean Palgrave,167581191,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Adonai,284719819,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
TobiwanKenobi,696297162,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
PV,129539635,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 5* Traya
Stanleyclimbfall,349879784,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
thcspitfire,155359364,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MilHouse,245782881,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Snorkelbenda,998413324,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DarthBolognese,139445371,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Pokey,839995558,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
CaptainCoom,791749373,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Ping,669828157,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
SonnyOlivia,841834798,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
anOOrmaly,232971818,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
darkside,171697539,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Xile,788888212,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
PChan,639899497,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Algandar,258979998,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
MINI LordBassoli,826748125,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Ponda Baba,565915987,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
MINI Kovacs,262231432,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Execute Order 69,743154738,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ZokyDawg CPR,224667393,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Savage,297519872,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Seve,733846924,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Greatfuljed I,717658145,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Wsummerspring,594122685,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Aizenthalpic,921146124,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Hootkins,193479255,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Gunn Sharky,778977693,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
IL,383349685,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BabyWiam,659121683,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Schembro,994614716,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
leinheart,551591265,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TK2618,375869453,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Donkey Kong,276523743,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Imnotgood,171813996,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Andrew,568458516,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
El Capitan,114311819,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TheIronCarrot,779825927,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
William Poyón,897851381,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
schembri,852538859,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Archie D2,716192825,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Rhevis,126515217,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Mtb,632271723,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Jeremy,183451598,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BA,285453629,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Yodizzle,611122258,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
