Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MC One,496367998,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
MC One,496367998,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
MC One,496367998,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MC One,496367998,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Shepard,915153266,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dobbz,692459781,0,0,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
DDC,414812779,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BillboSwaggenz,195239664,0,0,0,Seps (1%): Dooku Jango MagnaGuard B1 GG
Darth1 Daddy,318222584,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
SonofGrisha,761968935,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
SonofGrisha,761968935,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
SonofGrisha,761968935,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
SonofGrisha,761968935,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
SonofGrisha,761968935,0,0,0,SEE P1 5%: SEE Malak EP Sith Trooper Sith Marauder
SonofGrisha,761968935,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
SonofGrisha,761968935,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
SonofGrisha,761968935,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SonofGrisha,761968935,0,0,0,Seps (1%): Dooku Jango GBA GG Nute
Silent,667983833,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
TyTy19石头,667918273,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
TyTy19石头,667918273,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TyTy19石头,667918273,0,0,0,Seps (1%): Dooku Jango B2 GG Nute
Zeta Sigma 74,644932613,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Zeta Sigma 74,644932613,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Originalt HTroopers,985227814,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Originalt HTroopers,985227814,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Originalt HTroopers,985227814,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
Originalt HTroopers,985227814,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Originalt HTroopers,985227814,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Darth Talon
Originalt HTroopers,985227814,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
Originalt HTroopers,985227814,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Mace
SkyBounder,158445314,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
spannerdave,546632278,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
spannerdave,546632278,0,0,0,JKL + JML (6%): JKL JMLS JKA JKR Old Ben
IMAC1780,247782748,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
loypop13,223946436,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
loypop13,223946436,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
loypop13,223946436,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
loypop13,223946436,0,0,0,SEE P1 5%: SEE Malak Sidious Sith Marauder Darth Talon
loypop13,223946436,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
loypop13,223946436,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JediLukeSkywalker,548318682,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Wiz Kalifa,529558373,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dr Pepper,214958952,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Dr Pepper,214958952,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dr Pepper,214958952,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Dr Pepper,214958952,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dr Pepper,214958952,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Darth Talon
Dr Pepper,214958952,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Darkwizard126,199916727,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Blue Moose,233146235,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Blue Moose,233146235,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Blue Moose,233146235,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Blue Moose,233146235,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Blue Moose,233146235,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BAI,488844648,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
BAI,488844648,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
BAI,488844648,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
